Word	Length	Syllabes	SyllLength
οπή	3	ο-πή	2
όσο	3	ό-σο	2
ότι	3	ό-τι	2
ουκ	3	ουκ	1
ους	3	ους	1
ουφ	3	ουφ	1
όχι	3	ό-χι	2
όψη	3	ό-ψη	2
πας	3	πας	1
πάω	3	πά-ω	2
πια	3	πια	1
πιο	3	πιο	1
πόα	3	πό-α	2
ποπ	3	ποπ	1
που	3	που	1
πού	3	πού	1
προ	3	προ	1
πυξ	3	πυξ	1
πύο	3	πύ-ο	2
πυρ	3	πυρ	1
πως	3	πως	1
πώς	3	πώς	1
ρέω	3	ρέ-ω	2
ροζ	3	ροζ	1
ροή	3	ρο-ή	2
ροΐ	3	ρο-ΐ	2
ροκ	3	ροκ	1
σαν	3	σαν	1
σεξ	3	σεξ	1
σερ	3	σερ	1
σετ	3	σετ	1
σεφ	3	σεφ	1
σία	3	σί-α	2
σικ	3	σικ	1
σκι	3	σκι	1
σόι	3	σό-ι	2
σοκ	3	σοκ	1
σολ	3	σολ	1
σος	3	σος	1
συν	3	συν	1
ταυ	3	ταυ	1
τικ	3	τικ	1
τιμ	3	τιμ	1
ύλη	3	ύ-λη	2
υνί	3	υ-νί	2
υπό	3	υ-πό	2
υφή	3	υ-φή	2
φαΐ	3	φα-ΐ	2
φαξ	3	φαξ	1
φευ	3	φευ	1
φις	3	φις	1
φως	3	φως	1
χαν	3	χαν	1
χαφ	3	χαφ	1
χολ	3	χολ	1
χοπ	3	χοπ	1
ψες	3	ψες	1
ψιτ	3	ψιτ	1
ωδή	3	ω-δή	2
ωθώ	3	ω-θώ	2
ώρα	3	ώ-ρα	2
ώση	3	ώ-ση	2
αβάς	4	α-βάς	2
αγάς	4	α-γάς	2
άγια	4	ά-γι-α	3
αγνή	4	α-γνή	2
άγος	4	ά-γος	2
άγρα	4	ά-γρα	2
αγώι	4	α-γώ-ι	3
αδάμ	4	α-δάμ	2
άδης	4	ά-δης	2
αέρι	4	α-έ-ρι	3
αθώα	4	α-θώ-α	3
αίγα	4	αί-γα	2
αίμα	4	αί-μα	2
αίρω	4	αί-ρω	2
ακμή	4	ακ-μή	2
ακοή	4	α-κο-ή	3
άκρα	4	ά-κρα	2
άκρη	4	ά-κρη	2
άκρο	4	ά-κρο	2
ακτή	4	α-κτή	2
άκων	4	ά-κων	2
άλας	4	ά-λας	2
αλέα	4	α-λέ-α	3
αλκή	4	αλ-κή	2
αλλά	4	αλ-λά	2
άλμα	4	άλ-μα	2
άλμη	4	άλ-μη	2
αλόη	4	α-λό-η	3
άλφα	4	άλ-φα	2
άλως	4	ά-λως	2
αμάν	4	α-μάν	2
αμήν	4	α-μήν	2
αμόκ	4	α-μόκ	2
άναξ	4	ά-ναξ	2
άνευ	4	ά-νευ	2
άνθι	4	άν-θι	2
ανθώ	4	αν-θώ	2
ανία	4	α-νί-α	3
άντε	4	ά-ντε	2
αντί	4	α-ντί	2
αξία	4	α-ξί-α	3
άξια	4	ά-ξι-α	3
άουτ	4	ά-ουτ	2
άπαξ	4	ά-παξ	2
άπας	4	ά-πας	2
άπλα	4	ά-πλα	2
απών	4	α-πών	2
αργώ	4	αρ-γώ	2
άρης	4	ά-ρης	2
άρια	4	ά-ρι-α	3
αρκώ	4	αρ-κώ	2
άρμα	4	άρ-μα	2
άρμη	4	άρ-μη	2
αρνί	4	αρ-νί	2
άρπα	4	άρ-πα	2
άρση	4	άρ-ση	2
αρύς	4	α-ρύς	2
αρχή	4	αρ-χή	2
άρχω	4	άρ-χω	2
ασκί	4	α-σκί	2
ασκώ	4	α-σκώ	2
άσμα	4	ά-σμα	2
άσος	4	ά-σος	2
αστή	4	α-στή	2
άστυ	4	ά-στυ	2
ατός	4	α-τός	2
ατού	4	α-τού	2
αυγή	4	αυ-γή	2
αυγό	4	αυ-γό	2
αυλή	4	αυ-λή	2
αύρα	4	αύ-ρα	2
αυτί	4	αυ-τί	2
αφού	4	α-φού	2
αχλή	4	α-χλή	2
άχνα	4	ά-χνα	2
άχνη	4	ά-χνη	2
αχός	4	α-χός	2
άχτι	4	ά-χτι	2
αψιά	4	α-ψιά	2
αψύς	4	α-ψύς	2
βαβά	4	βα-βά	2
βάβω	4	βά-βω	2
βάζο	4	βά-ζο	2
βάζω	4	βά-ζω	2
βαμπ	4	βαμπ	1
βάνα	4	βά-να	2
βάνω	4	βά-νω	2
βάση	4	βά-ση	2
βάτα	4	βά-τα	2
βαφή	4	βα-φή	2
βάφω	4	βά-φω	2
βέλο	4	βέ-λο	2
βέρα	4	βέ-ρα	2
βέτο	4	βέ-το	2
βήμα	4	βή-μα	2
βήτα	4	βή-τα	2
βήχω	4	βή-χω	2
βίδα	4	βί-δα	2
βίζα	4	βί-ζα	2
βίλα	4	βί-λα	2
βίος	4	βί-ος	2
βιπς	4	βιπς	1
βίρα	4	βί-ρα	2
βόας	4	βό-ας	2
βόδι	4	βό-δι	2
βολέ	4	βο-λέ	2
βολή	4	βο-λή	2
βόλι	4	βό-λι	2
βολτ	4	βολτ	1
βορά	4	βο-ρά	2
βουή	4	βου-ή	2
βρύο	4	βρύ-ο	2
βυζί	4	βυ-ζί	2
βύνη	4	βύ-νη	2
γάζα	4	γά-ζα	2
γαζί	4	γα-ζί	2
γαία	4	γαί-α	2
γάλα	4	γά-λα	2
γάμα	4	γά-μα	2
γάτα	4	γά-τα	2
γατί	4	γα-τί	2
γεια	4	γεια	1
γένι	4	γέ-νι	2
γίδα	4	γί-δα	2
γίδι	4	γί-δι	2
γιος	4	γιος	1
γιοτ	4	γιοτ	1
γκέι	4	γκέ-ι	2
γκελ	4	γκελ	1
γκολ	4	γκολ	1
γκρι	4	γκρι	1
γκρο	4	γκρο	1
γόβα	4	γό-βα	2
γόης	4	γό-ης	2
γόμα	4	γό-μα	2
γόος	4	γό-ος	2
γόπα	4	γό-πα	2
γριά	4	γρι-ά	2
γύρα	4	γύ-ρα	2
γύρη	4	γύ-ρη	2
γύρω	4	γύ-ρω	2
δάδα	4	δά-δα	2
δαδί	4	δα-δί	2
δέκα	4	δέ-κα	2
δέμα	4	δέ-μα	2
δένω	4	δέ-νω	2
δέον	4	δέ-ον	2
δέος	4	δέ-ος	2
δέων	4	δέ-ων	2
δίας	4	δί-ας	2
δίδω	4	δί-δω	2
δίκη	4	δί-κη	2
δίνη	4	δί-νη	2
δίνω	4	δί-νω	2
δίψα	4	δί-ψα	2
δομή	4	δο-μή	2
δομώ	4	δο-μώ	2
δόνα	4	δό-να	2
δονώ	4	δο-νώ	2
δόξα	4	δό-ξα	2
δορά	4	δο-ρά	2
δόρυ	4	δό-ρυ	2
δόση	4	δό-ση	2
δρυς	4	δρυς	1
δρων	4	δρων	1
δύνη	4	δύ-νη	2
δύση	4	δύ-ση	2
δώθε	4	δώ-θε	2
δώμα	4	δώ-μα	2
δώρο	4	δώ-ρο	2
έβγα	4	έ-βγα	2
εδέμ	4	ε-δέμ	2
έδρα	4	έ-δρα	2
ειδή	4	ει-δή	2
είθε	4	εί-θε	2
εική	4	ει-κή	2
είτε	4	εί-τε	2
έιτζ	4	έ-ιτζ	2
εκεί	4	ε-κεί	2
εκών	4	ε-κών	2
ελεώ	4	ε-λε-ώ	3
ελέω	4	ε-λέ-ω	3
ελιά	4	ε-λιά	2
ελίτ	4	ε-λίτ	2
έλκω	4	έλ-κω	2
έλξη	4	έλ-ξη	2
έλος	4	έ-λος	2
έμπα	4	έ-μπα	2
ένας	4	έ-νας	2
ένθα	4	έν-θα	2
εξής	4	ε-ξής	2
εξόν	4	ε-ξόν	2
έπος	4	έ-πος	2
επτά	4	ε-πτά	2
έργο	4	έρ-γο	2
έριο	4	έ-ρι-ο	3
έρμα	4	έρ-μα	2
έρπω	4	έρ-πω	2
έρως	4	έ-ρως	2
έστω	4	έ-στω	2
έτος	4	έ-τος	2
έτσι	4	έ-τσι	2
εύγε	4	εύ-γε	2
ευρώ	4	ευ-ρώ	2
ευχή	4	ευ-χή	2
έχων	4	έ-χων	2
ζάλη	4	ζά-λη	2
ζάλο	4	ζά-λο	2
ζάρα	4	ζά-ρα	2
ζάρι	4	ζά-ρι	2
ζελέ	4	ζε-λέ	2
ζέον	4	ζέ-ον	2
ζερό	4	ζε-ρό	2
ζέση	4	ζέ-ση	2
ζετέ	4	ζε-τέ	2
ζεύω	4	ζεύ-ω	2
ζηλώ	4	ζη-λώ	2
ζήση	4	ζή-ση	2
ζήτα	4	ζή-τα	2
ζήτω	4	ζή-τω	2
ζίνα	4	ζί-να	2
ζόρι	4	ζό-ρι	2
ζουμ	4	ζουμ	1
ζύγι	4	ζύ-γι	2
ζύμη	4	ζύ-μη	2
ζώνη	4	ζώ-νη	2
ζώνω	4	ζώ-νω	2
ήθος	4	ή-θος	2
ήλιο	4	ή-λι-ο	3
ήλος	4	ή-λος	2
ηνίο	4	η-νί-ο	3
ήπαρ	4	ή-παρ	2
ήπια	4	ή-πι-α	3
ηρώο	4	η-ρώ-ο	3
ήτοι	4	ή-τοι	2
ήττα	4	ήτ-τα	2
ήχος	4	ή-χος	2
θάβω	4	θά-βω	2
θάμα	4	θά-μα	2
θεία	4	θεί-α	2
θείο	4	θεί-ο	2
θέλω	4	θέ-λω	2
θέμα	4	θέ-μα	2
θεός	4	θε-ός	2
θέση	4	θέ-ση	2
θέτω	4	θέ-τω	2
θήκη	4	θή-κη	2
θηλή	4	θη-λή	2
θήρα	4	θή-ρα	2
θήτα	4	θή-τα	2
θίγω	4	θί-γω	2
θίνα	4	θί-να	2
θύμα	4	θύ-μα	2
θύρα	4	θύ-ρα	2
θωρώ	4	θω-ρώ	2
ίαση	4	ί-α-ση	3
ιαχή	4	ι-α-χή	3
ιδέα	4	ι-δέ-α	3
ιδία	4	ι-δί-α	3
ίδια	4	ί-δια	2
ιδού	4	ι-δού	2
ιερό	4	ι-ε-ρό	3
ιλύς	4	ι-λύς	2
ινίο	4	ι-νί-ο	3
ίσια	4	ί-σια	2
ίσος	4	ί-σος	2
ίσως	4	ί-σως	2
ιτιά	4	ι-τιά	2
ίωση	4	ί-ω-ση	3
κάβα	4	κά-βα	2
κάδη	4	κά-δη	2
κάζο	4	κά-ζο	2
κάθε	4	κά-θε	2
καίω	4	καί-ω	2
κακά	4	κα-κά	2
καλώ	4	κα-λώ	2
κάμα	4	κά-μα	2
κανί	4	κα-νί	2
κανό	4	κα-νό	2
κάνω	4	κά-νω	2
κάπα	4	κά-πα	2
καπό	4	κα-πό	2
κάρα	4	κά-ρα	2
καρέ	4	κα-ρέ	2
καρό	4	κα-ρό	2
κάρο	4	κά-ρο	2
κάσα	4	κά-σα	2
κασέ	4	κα-σέ	2
καστ	4	καστ	1
κατά	4	κα-τά	2
κάτι	4	κά-τι	2
κατς	4	κατς	1
κάτω	4	κά-τω	2
καφέ	4	κα-φέ	2
κάψα	4	κά-ψα	2
κέικ	4	κέ-ικ	2
κελί	4	κε-λί	2
κενό	4	κε-νό	2
κερί	4	κε-ρί	2
κέφι	4	κέ-φι	2
κήλη	4	κή-λη	2
κιλό	4	κι-λό	2
κινώ	4	κι-νώ	2
κιτς	4	κιτς	1
κλακ	4	κλακ	1
κλικ	4	κλικ	1
κλιπ	4	κλιπ	1
κλου	4	κλου	1
κόβω	4	κό-βω	2
κόκα	4	κό-κα	2
κόλα	4	κό-λα	2
κόλο	4	κό-λο	2
κόμη	4	κό-μη	2
κομό	4	κο-μό	2
κοπή	4	κο-πή	2
κόρα	4	κό-ρα	2
κόρη	4	κό-ρη	2
κόρο	4	κό-ρο	2
κόσα	4	κό-σα	2
κότα	4	κό-τα	2
κουπ	4	κουπ	1
κόφα	4	κό-φα	2
κόχη	4	κό-χη	2
κόψη	4	κό-ψη	2
κρακ	4	κρακ	1
κραχ	4	κραχ	1
κρεμ	4	κρεμ	1
κρεπ	4	κρεπ	1
κρύα	4	κρύ-α	2
κρύο	4	κρύ-ο	2
κύμα	4	κύ-μα	2
κυρά	4	κυ-ρά	2
κύων	4	κύ-ων	2
κώμα	4	κώ-μα	2
κώμη	4	κώ-μη	2
λάβα	4	λά-βα	2
λαβή	4	λα-βή	2
λαδί	4	λα-δί	2
λάδι	4	λά-δι	2
λάκα	4	λά-κα	2
λαλώ	4	λα-λώ	2
λάμα	4	λά-μα	2
λαμέ	4	λα-μέ	2
λαός	4	λα-ός	2
λάσο	4	λά-σο	2
λάφι	4	λά-φι	2
λέβα	4	λέ-βα	2
λέγω	4	λέ-γω	2
λεία	4	λεί-α	2
λέξη	4	λέ-ξη	2
λέπι	4	λέ-πι	2
λέρα	4	λέ-ρα	2
λέσι	4	λέ-σι	2
λέων	4	λέ-ων	2
λήγω	4	λή-γω	2
λήθη	4	λή-θη	2
λήξη	4	λή-ξη	2
λήψη	4	λή-ψη	2
λίαν	4	λί-αν	2
λίγο	4	λί-γο	2
λιλά	4	λι-λά	2
λίμα	4	λί-μα	2
λίρα	4	λί-ρα	2
λιτή	4	λι-τή	2
λόγω	4	λό-γω	2
λόξα	4	λό-ξα	2
λότο	4	λό-το	2
λουξ	4	λουξ	1
λύμα	4	λύ-μα	2
λύνω	4	λύ-νω	2
λύπη	4	λύ-πη	2
λυπώ	4	λυ-πώ	2
λύρα	4	λύ-ρα	2
λύση	4	λύ-ση	2
μάζα	4	μά-ζα	2
μαζί	4	μα-ζί	2
μαία	4	μαί-α	2
μακό	4	μα-κό	2
μάλη	4	μά-λη	2
μαμά	4	μα-μά	2
μαμή	4	μα-μή	2
μάνα	4	μά-να	2
μάπα	4	μά-πα	2
μάρα	4	μά-ρα	2
μαρς	4	μαρς	1
μάτι	4	μά-τι	2
ματς	4	ματς	1
μάχη	4	μά-χη	2
μέθη	4	μέ-θη	2
μέλι	4	μέ-λι	2
μελό	4	με-λό	2
μένω	4	μέ-νω	2
μέρα	4	μέ-ρα	2
μερί	4	με-ρί	2
μέσα	4	μέ-σα	2
μέση	4	μέ-ση	2
μέσο	4	μέ-σο	2
μέσω	4	μέ-σω	2
μετά	4	με-τά	2
μετρ	4	μετρ	1
μηδέ	4	μη-δέ	2
μήλο	4	μή-λο	2
μηνώ	4	μη-νώ	2
μηρί	4	μη-ρί	2
μήτε	4	μή-τε	2
μίζα	4	μί-ζα	2
μίλι	4	μί-λι	2
μίνα	4	μί-να	2
μίνι	4	μί-νι	2
μισώ	4	μι-σώ	2
μόδα	4	μό-δα	2
μόκα	4	μό-κα	2
μόλο	4	μό-λο	2
μονή	4	μο-νή	2
μόνο	4	μό-νο	2
μόρα	4	μό-ρα	2
μορς	4	μορς	1
μότο	4	μό-το	2
μους	4	μους	1
μπακ	4	μπακ	1
μπαμ	4	μπαμ	1
μπαρ	4	μπαρ	1
μπεζ	4	μπεζ	1
μπιτ	4	μπιτ	1
μπλα	4	μπλα	1
μπλε	4	μπλε	1
μποά	4	μπο-ά	2
μπόι	4	μπό-ι	2
μπολ	4	μπολ	1
μποξ	4	μποξ	1
μπορ	4	μπορ	1
μπρε	4	μπρε	1
μύγα	4	μύ-γα	2
μύδι	4	μύ-δι	2
μύλη	4	μύ-λη	2
μύξα	4	μύ-ξα	2
μύρο	4	μύ-ρο	2
μύτη	4	μύ-τη	2
μωρό	4	μω-ρό	2
ναζί	4	να-ζί	2
νάζι	4	νά-ζι	2
ναΐφ	4	να-ΐφ	2
νάμα	4	νά-μα	2
νάνι	4	νά-νι	2
ναός	4	να-ός	2
νένα	4	νέ-να	2
νενέ	4	νε-νέ	2
νέον	4	νέ-ον	2
νέος	4	νέ-ος	2
νερό	4	νε-ρό	2
νεύω	4	νεύ-ω	2
νήμα	4	νή-μα	2
νησί	4	νη-σί	2
νίβω	4	νί-βω	2
νίκη	4	νί-κη	2
νίλα	4	νί-λα	2
νομή	4	νο-μή	2
νονά	4	νο-νά	2
νόνα	4	νό-να	2
νοσώ	4	νο-σώ	2
νότα	4	νό-τα	2
νους	4	νους	1
νοών	4	νο-ών	2
ντιπ	4	ντιπ	1
ντοκ	4	ντοκ	1
ντον	4	ντον	1
ντου	4	ντου	1
νύξη	4	νύ-ξη	2
νύφη	4	νύ-φη	2
νύχι	4	νύ-χι	2
νώτα	4	νώ-τα	2
ξανά	4	ξα-νά	2
ξένη	4	ξέ-νη	2
ξένο	4	ξέ-νο	2
ξέρα	4	ξέ-ρα	2
ξερή	4	ξε-ρή	2
ξέρω	4	ξέ-ρω	2
ξηρά	4	ξη-ρά	2
ξίδι	4	ξί-δι	2
ξόδι	4	ξό-δι	2
ξύλο	4	ξύ-λο	2
ξύνω	4	ξύ-νω	2
όαση	4	ό-α-ση	3
οβάλ	4	ο-βάλ	2
οδός	4	ο-δός	2
όζον	4	ό-ζον	2
όζος	4	ό-ζος	2
οίδα	4	οί-δα	2
οκέι	4	ο-κέ-ι	3
οκτώ	4	ο-κτώ	2
ολκή	4	ολ-κή	2
όλος	4	ό-λος	2
όλως	4	ό-λως	2
όμμα	4	όμ-μα	2
ομού	4	ο-μού	2
όμως	4	ό-μως	2
όνος	4	ό-νος	2
οξιά	4	ο-ξιά	2
όξος	4	ό-ξος	2
οξύς	4	ο-ξύς	2
όπερ	4	ό-περ	2
όπιο	4	ό-πι-ο	3
οπλή	4	ο-πλή	2
όπλο	4	ό-πλο	2
οπός	4	ο-πός	2
όπου	4	ό-που	2
όπως	4	ό-πως	2
οργή	4	ορ-γή	2
ορδή	4	ορ-δή	2
ορθό	4	ορ-θό	2
όριο	4	ό-ρι-ο	3
ορμή	4	ορ-μή	2
ορός	4	ο-ρός	2
όρος	4	ό-ρος	2
όσια	4	ό-σι-α	3
οσμή	4	ο-σμή	2
όσος	4	ό-σος	2
οστό	4	ο-στό	2
όταν	4	ό-ταν	2
ότου	4	ό-του	2
ουδέ	4	ου-δέ	2
ούζο	4	ού-ζο	2
ουλή	4	ου-λή	2
ούλο	4	ού-λο	2
ουρά	4	ου-ρά	2
ουρί	4	ου-ρί	2
ούρο	4	ού-ρο	2
ουρώ	4	ου-ρώ	2
ούτε	4	ού-τε	2
ούτι	4	ού-τι	2
ούφο	4	ού-φο	2
ουχί	4	ου-χί	2
όφις	4	ό-φις	2
όχθη	4	ό-χθη	2
οχιά	4	ο-χιά	2
παζλ	4	παζλ	1
παις	4	παις	1
πάκο	4	πά-κο	2
πάλα	4	πά-λα	2
πάλε	4	πά-λε	2
πάλη	4	πά-λη	2
πάλι	4	πά-λι	2
παμπ	4	παμπ	1
πάνα	4	πά-να	2
πανί	4	πα-νί	2
πανκ	4	πανκ	1
πανό	4	πα-νό	2
πάνω	4	πά-νω	2
παπί	4	πα-πί	2
παρά	4	πα-ρά	2
πάρα	4	πά-ρα	2
πάσα	4	πά-σα	2
πάσο	4	πά-σο	2
πατέ	4	πα-τέ	2
πατώ	4	πα-τώ	2
παύω	4	παύ-ω	2
πεζή	4	πε-ζή	2
πένα	4	πέ-να	2
πέος	4	πέ-ος	2
πέρα	4	πέ-ρα	2
περί	4	πε-ρί	2
πέτο	4	πέ-το	2
πέψη	4	πέ-ψη	2
πηγή	4	πη-γή	2
πήζω	4	πή-ζω	2
πήξη	4	πή-ξη	2
πήχη	4	πή-χη	2
πίκα	4	πί-κα	2
πίνα	4	πί-να	2
πίνω	4	πί-νω	2
πίπα	4	πί-πα	2
πιπί	4	πι-πί	2
πίσω	4	πί-σω	2
πίτα	4	πί-τα	2
πλαζ	4	πλαζ	1
πλάι	4	πλά-ι	2
πλέω	4	πλέ-ω	2
πλην	4	πλην	1
πνέω	4	πνέ-ω	2
πνοή	4	πνο-ή	2
πόδι	4	πό-δι	2
πόζα	4	πό-ζα	2
ποθώ	4	πο-θώ	2
ποιώ	4	ποι-ώ	2
πόκα	4	πό-κα	2
πόλη	4	πό-λη	2
πόλο	4	πό-λο	2
πολύ	4	πο-λύ	2
ποπό	4	πο-πό	2
πόση	4	πό-ση	2
ποσό	4	πο-σό	2
πόσο	4	πό-σο	2
ποτέ	4	πο-τέ	2
πότε	4	πό-τε	2
ποτό	4	πο-τό	2
πουά	4	που-ά	2
πουφ	4	πουφ	1
πριμ	4	πριμ	1
πριν	4	πριν	1
προς	4	προς	1
πρωί	4	πρω-ί	2
πτοώ	4	πτο-ώ	2
πτύο	4	πτύ-ο	2
πτύω	4	πτύ-ω	2
πύλη	4	πύ-λη	2
πυρά	4	πυ-ρά	2
πύρα	4	πύ-ρα	2
πωλώ	4	πω-λώ	2
πώμα	4	πώ-μα	2
ραβί	4	ρα-βί	2
ράβω	4	ρά-βω	2
ράγα	4	ρά-γα	2
ράδα	4	ρά-δα	2
ράιχ	4	ρά-ιχ	2
ρακή	4	ρα-κή	2
ρακί	4	ρα-κί	2
ράλι	4	ρά-λι	2
ραμί	4	ρα-μί	2
ράσο	4	ρά-σο	2
ραφή	4	ρα-φή	2
ράφι	4	ρά-φι	2
ράχη	4	ρά-χη	2
ρέλι	4	ρέ-λι	2
ρέμα	4	ρέ-μα	2
ρεπό	4	ρε-πό	2
ρέπω	4	ρέ-πω	2
ρεύω	4	ρεύ-ω	2
ρέων	4	ρέ-ων	2
ρήμα	4	ρή-μα	2
ρήξη	4	ρή-ξη	2
ρήση	4	ρή-ση	2
ρητό	4	ρη-τό	2
ρίγα	4	ρί-γα	2
ριγέ	4	ρι-γέ	2
ριγώ	4	ρι-γώ	2
ριζά	4	ρι-ζά	2
ρίζα	4	ρί-ζα	2
ρίμα	4	ρί-μα	2
ρίνα	4	ρί-να	2
ριπή	4	ρι-πή	2
ρίφι	4	ρί-φι	2
ρίψη	4	ρί-ψη	2
ρόγα	4	ρό-γα	2
ρόδα	4	ρό-δα	2
ρόδι	4	ρό-δι	2
ρόδο	4	ρό-δο	2
ροζέ	4	ρο-ζέ	2
ρόκα	4	ρό-κα	2
ρολό	4	ρο-λό	2
ροπή	4	ρο-πή	2
ρότα	4	ρό-τα	2
ρουζ	4	ρουζ	1
ρους	4	ρους	1
ρύζι	4	ρύ-ζι	2
ρύμη	4	ρύ-μη	2
ρύση	4	ρύ-ση	2
ρώγα	4	ρώ-γα	2
ρώμη	4	ρώ-μη	2
ρωτώ	4	ρω-τώ	2
σάκα	4	σά-κα	2
σακί	4	σα-κί	2
σάλα	4	σά-λα	2
σαλέ	4	σα-λέ	2
σάλι	4	σά-λι	2
σανό	4	σα-νό	2
σάρα	4	σά-ρα	2
σαρξ	4	σαρξ	1
σασί	4	σα-σί	2
σείω	4	σεί-ω	2
σέλα	4	σέ-λα	2
σέξι	4	σέ-ξι	2
σέρα	4	σέ-ρα	2
σερί	4	σε-ρί	2
σήμα	4	σή-μα	2
σήτα	4	σή-τα	2
σήψη	4	σή-ψη	2
σιγά	4	σι-γά	2
σιγή	4	σι-γή	2
σιγώ	4	σι-γώ	2
σιέλ	4	σι-έλ	2
σικέ	4	σι-κέ	2
σιλό	4	σι-λό	2
σιμά	4	σι-μά	2
σινί	4	σι-νί	2
σκιά	4	σκι-ά	2
σκορ	4	σκορ	1
σόδα	4	σό-δα	2
σόλα	4	σό-λα	2
σόλο	4	σό-λο	2
σόου	4	σό-ου	2
σοτέ	4	σο-τέ	2
σουτ	4	σουτ	1
σπάω	4	σπά-ω	2
σπορ	4	σπορ	1
σποτ	4	σποτ	1
σταρ	4	σταρ	1
στιλ	4	στιλ	1
στοά	4	στο-ά	2
στοκ	4	στοκ	1
στοπ	4	στοπ	1
στορ	4	στορ	1
συζώ	4	συ-ζώ	2
συκή	4	συ-κή	2
σύκο	4	σύ-κο	2
συλώ	4	συ-λώ	2
σύρω	4	σύ-ρω	2
σώζω	4	σώ-ζω	2
σώμα	4	σώ-μα	2
σώνω	4	σώ-νω	2
σώος	4	σώ-ος	2
ταγή	4	τα-γή	2
τάδε	4	τά-δε	2
τάζω	4	τά-ζω	2
τακτ	4	τακτ	1
ταλκ	4	ταλκ	1
τάμα	4	τά-μα	2
τάξη	4	τά-ξη	2
ταξί	4	τα-ξί	2
τάπα	4	τά-πα	2
ταπί	4	τα-πί	2
τάρα	4	τά-ρα	2
τάση	4	τά-ση	2
τάσι	4	τά-σι	2
ταφή	4	τα-φή	2
τάχα	4	τά-χα	2
ταψί	4	τα-ψί	2
τέζα	4	τέ-ζα	2
